"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SGCodeSystem","CodeSystem.identifier","CodeSystem.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Additional identifier for the code system (business identifier)","A formal identifier that is used to identify this code system when it is represented in other formats, or referenced in a specification, model, design or an instance.","Typically, this is used for identifiers that can go in an HL7 V3 II (instance identifier) data type, and can then identify this code system outside of FHIR, where it is not possible to use the logical URI.  Note that HL7 defines at least three identifiers for many of its code systems - the FHIR canonical URL, the OID and the V2 Table 0396 mnemonic code.","Allows externally provided and/or usable business identifiers to be easily associated with the module.","","","","","","","",,,,,"",,,,"CodeSystem.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.version","CodeSystem.version","","","",0,1,"","","Y","string {[]} {[]}
","Business version of the code system (Coding.version)","The identifier that is used to identify this version of the code system when it is referenced in a specification, model, design or instance. This is an arbitrary value managed by the code system author and is not expected to be globally unique. For example, it might be a timestamp (e.g. yyyymmdd) if a managed version is not available. There is also no expectation that versions can be placed in a lexicographical sequence. This is used in [Coding](http://hl7.org/fhir/R4/datatypes.html#Coding).version.","There may be different code system instances that have the same identifier but different versions.  The version can be appended to the url in a reference to allow a reference to a particular business version of the code system with the format [url]|[version].","","","","","","","","",,,,,"",,,,"CodeSystem.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.name","CodeSystem.name","","","",0,1,"","","Y","string {[]} {[]}
","Name for this code system (computer friendly)","A natural language name identifying the code system. This name should be usable as an identifier for the module by machine processing applications such as code generation.","The name is not expected to be globally unique. The name should be a simple alphanumeric type name to ensure that it is machine-processing friendly.","Support human navigation and code generation.","","","","","","","",,,,,"",,,,"CodeSystem.name",0,1,"inv-0
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.title","CodeSystem.title","","","",0,1,"","","Y","string {[]} {[]}
","Name for this code system (human friendly)","A short, descriptive, user-friendly title for the code system.","This name does not need to be machine-processing friendly and may contain punctuation, white-space, etc.","","","","","","","","",,,,,"",,,,"CodeSystem.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.status","CodeSystem.status","","","",1,1,"","Y","Y","code {[]} {[]}
","draft | active | retired | unknown","The date (and optionally time) when the code system resource was created or revised.","Allows filtering of code systems that are appropriate for use versus not.","","","","","","","","",,"required","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status|4.0.1","",,,,"CodeSystem.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.experimental","CodeSystem.experimental","","","",0,1,"","","Y","boolean {[]} {[]}
","For testing purposes, not real usage","A Boolean value to indicate that this code system is authored for testing purposes (or education/evaluation/marketing) and is not intended to be used for genuine usage.","Allows filtering of code systems that are appropriate for use versus not.","Enables experimental content to be developed following the same lifecycle that would be used for a production-level code system.","","","","","","","",,,,,"",,,,"CodeSystem.experimental",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.date","CodeSystem.date","","Revision Date
","",0,1,"","","Y","dateTime {[]} {[]}
","Date last changed","The date  (and optionally time) when the code system was published. The date must change when the business version changes and it must change if the status code changes. In addition, it should change when the substantive content of the code system changes.","Note that this is not the same as the resource last-modified-date, since the resource may be a secondary representation of the code system. Additional specific dates may be added as extensions or be found by consulting Provenances associated with past versions of the resource.","","","","","","","","",,,,,"",,,,"CodeSystem.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.publisher","CodeSystem.publisher","","","",0,1,"","","Y","string {[]} {[]}
","Name of the publisher (organization or individual)","The name of the organization or individual that published the code system.","Usually an organization but may be an individual. The publisher (or steward) of the code system is the organization or individual primarily responsible for the maintenance and upkeep of the code system. This is not necessarily the same individual or organization that developed and initially authored the content. The publisher is the primary point of contact for questions or issues with the code system. This item SHOULD be populated unless the information is available from context.","Helps establish the ""authority/credibility"" of the code system.  May also allow for contact.","","","","","","","",,,,,"",,,,"CodeSystem.publisher",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.contact","CodeSystem.contact","","","",0,*,"","","Y","ContactDetail {[]} {[]}
","Contact details for the publisher","Contact details to assist a user in finding and communicating with the publisher.","May be a web site, an email address, a telephone number, etc.","","","","","","","","",,,,,"",,,,"CodeSystem.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.description","CodeSystem.description","","Scope
Purpose","",0,1,"","","","markdown {[]} {[]}
","Natural language description of the code system","A free text natural language description of the code system from a consumer's perspective.","This description can be used to capture details such as why the code system was built, comments about misuse, instructions for clinical use and interpretation, literature references, examples from the paper world, etc. It is not a rendering of the code system as conveyed in the 'text' field of the resource itself. This item SHOULD be populated unless the information is available from context (e.g. the language of the code system is presumed to be the predominant language in the place the code system was created).","","","","","","","","",,,,,"",,,,"CodeSystem.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.useContext","CodeSystem.useContext","","","",0,*,"","","Y","UsageContext {[]} {[]}
","The context that the content is intended to support","The content was developed with a focus and intent of supporting the contexts that are listed. These contexts may be general categories (gender, age, ...) or may be references to specific programs (insurance plans, studies, ...) and may be used to assist with indexing and searching for appropriate code system instances.","When multiple useContexts are specified, there is no expectation that all or any of the contexts apply.","Assist in searching for appropriate content.","","","","","","","",,,,,"",,,,"CodeSystem.useContext",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.jurisdiction","CodeSystem.jurisdiction","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Intended jurisdiction for code system (if applicable)","A legal or geographic region in which the code system is intended to be used.","It may be possible for the code system to be used in jurisdictions other than those for which it was originally designed or intended.","","","","","","","","",,"extensible","Countries and regions within which this artifact is targeted for use.","http://hl7.org/fhir/ValueSet/jurisdiction","",,,,"CodeSystem.jurisdiction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.purpose","CodeSystem.purpose","","","",0,1,"","","","markdown {[]} {[]}
","Why this code system is defined","Explanation of why this code system is needed and why it has been designed as it has.","This element does not describe the usage of the code system. Instead, it provides traceability of ''why'' the resource is either needed or ''why'' it is defined as it is.  This may be used to point to source materials or specifications that drove the structure of this code system.","","","","","","","","",,,,,"",,,,"CodeSystem.purpose",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.copyright","CodeSystem.copyright","","License
Restrictions","",0,1,"","","","markdown {[]} {[]}
","Use and/or publishing restrictions","A copyright statement relating to the code system and/or its contents. Copyright statements are generally legal restrictions on the use and publishing of the code system.","... Sometimes, the copyright differs between the code system and the codes that are included. The copyright statement should clearly differentiate between these when required.","Consumers must be able to determine any legal restrictions on the use of the code system and/or its content.","","","","","","","",,,,,"",,,,"CodeSystem.copyright",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.caseSensitive","CodeSystem.caseSensitive","","","",0,1,"","","Y","boolean {[]} {[]}
","If code comparison is case sensitive","If code comparison is case sensitive when codes within this system are compared to each other.","If this value is missing, then it is not specified whether a code system is case sensitive or not. When the rule is not known, Postel's law should be followed: produce codes with the correct case, and accept codes in any case. This element is primarily provided to support validation software.","","","","","","","","",,,,,"",,,,"CodeSystem.caseSensitive",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.valueSet","CodeSystem.valueSet","","","",0,1,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ValueSet]]}
","Canonical reference to the value set with entire code system","Canonical reference to the value set that contains the entire code system.","The definition of the value set SHALL include all codes from this code system and only codes from this code system, and it SHALL be immutable.","","","","","","","","",,,,,"",,,,"CodeSystem.valueSet",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.hierarchyMeaning","CodeSystem.hierarchyMeaning","","","",0,1,"","","Y","code {[]} {[]}
","grouped-by | is-a | part-of | classified-with","The meaning of the hierarchy of concepts as represented in this resource.","Note that other representations might have a different hierarchy or none at all, and represent the information using properties.","","","","","","","","",,"required","The meaning of the hierarchy of concepts in a code system.","http://hl7.org/fhir/ValueSet/codesystem-hierarchy-meaning|4.0.1","",,,,"CodeSystem.hierarchyMeaning",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.compositional","CodeSystem.compositional","","grammar
","",0,1,"","","Y","boolean {[]} {[]}
","If code system defines a compositional grammar","The code system defines a compositional (post-coordination) grammar.","Note that the code system resource does not define what the compositional grammar is, only whether or not there is one.","","","","","","","","",,,,,"",,,,"CodeSystem.compositional",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.versionNeeded","CodeSystem.versionNeeded","","","",0,1,"","","Y","boolean {[]} {[]}
","If definitions are not stable","This flag is used to signify that the code system does not commit to concept permanence across versions. If true, a version must be specified when referencing this code system.","Best practice is that code systems do not redefine concepts, or that if concepts are redefined, a new code system definition is created. But this is not always possible, so some code systems may be defined as 'versionNeeded'.

Most code systems occasionally refine the displays defined for concepts between versions. Contexts in which the concept display values are validated may require that the version be specified for some code systems irrespective of the value of this property.","","","","","","","","",,,,,"",,,,"CodeSystem.versionNeeded",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.content","CodeSystem.content","","","",1,1,"","","Y","code {[]} {[]}
","not-present | example | fragment | complete | supplement","The extent of the content of the code system (the concepts and codes it defines) are represented in this resource instance.","","","","","","","","","",,"required","The extent of the content of the code system (the concepts and codes it defines) are represented in a code system resource.","http://hl7.org/fhir/ValueSet/codesystem-content-mode|4.0.1","",,,,"CodeSystem.content",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.supplements","CodeSystem.supplements","","","",0,1,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CodeSystem]]}
","Canonical URL of Code System this adds designations and properties to","The canonical URL of the code system that this code system supplement is adding designations and properties to.","The most common use of a code system supplement is to add additional language support.","","","","","","","","",,,,,"",,,,"CodeSystem.supplements",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.count","CodeSystem.count","","","",0,1,"","","Y","unsignedInt {[]} {[]}
","Total concepts in the code system","The total number of concepts defined by the code system. Where the code system has a compositional grammar, the basis of this count is defined by the system steward.","The count of concepts defined in this resource cannot be more than this value but may be less for several reasons - see the content element.","","","","","","","","",,,,,"",,,,"CodeSystem.count",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.filter","CodeSystem.filter","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Filter that can be used in a value set","A filter that can be used in a value set compose statement when selecting concepts using a filter.","Note that filters defined in code systems usually require custom code on the part of any terminology engine that will make them available for use in value set filters. For this reason, they are generally only seen in high value published terminologies.","","","","","","","","",,,,,"",,,,"CodeSystem.filter",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.filter.id","CodeSystem.filter.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SGCodeSystem","CodeSystem.filter.extension","CodeSystem.filter.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SGCodeSystem","CodeSystem.filter.modifierExtension","CodeSystem.filter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SGCodeSystem","CodeSystem.filter.code","CodeSystem.filter.code","","","",1,1,"","","Y","code {[]} {[]}
","Code that identifies the filter","The code that identifies this filter when it is used as a filter in [ValueSet](valueset.html#).compose.include.filter.","","","","","","","","","",,,,,"",,,,"CodeSystem.filter.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.filter.description","CodeSystem.filter.description","","","",0,1,"","","Y","string {[]} {[]}
","How or why the filter is used","A description of how or why the filter is used.","","","","","","","","","",,,,,"",,,,"CodeSystem.filter.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.filter.operator","CodeSystem.filter.operator","","","",1,*,"","","Y","code {[]} {[]}
","= | is-a | descendent-of | is-not-a | regex | in | not-in | generalizes | exists","A list of operators that can be used with the filter.","","","","","","","","","",,"required","The kind of operation to perform as a part of a property based filter.","http://hl7.org/fhir/ValueSet/filter-operator|4.0.1","",,,,"CodeSystem.filter.operator",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.filter.value","CodeSystem.filter.value","","","",1,1,"","","Y","string {[]} {[]}
","What to use for the value","A description of what the value for the filter should be.","","","","","","","","","",,,,,"",,,,"CodeSystem.filter.value",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.property","CodeSystem.property","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Additional information supplied about each concept","A property defines an additional slot through which additional information can be provided about a concept.","","","","","","","","","",,,,,"",,,,"CodeSystem.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.property.id","CodeSystem.property.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SGCodeSystem","CodeSystem.property.extension","CodeSystem.property.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SGCodeSystem","CodeSystem.property.modifierExtension","CodeSystem.property.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SGCodeSystem","CodeSystem.property.code","CodeSystem.property.code","","","",1,1,"","","Y","code {[]} {[]}
","Identifies the property on the concepts, and when referred to in operations","A code that is used to identify the property. The code is used internally (in CodeSystem.concept.property.code) and also externally, such as in property filters.","","","","","","","","","",,,,,"",,,,"CodeSystem.property.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SGCodeSystem","CodeSystem.property.uri","CodeSystem.property.uri","","","",0,1,"","","Y","uri {[]} {[]}
","Formal identifier for the property","Reference to the formal meaning of the property. One possible source of meaning is the [Concept Properties](codesystem-concept-properties.html) code system.","","","","","","","","","",,,,,"",,,,"CodeSystem.property.uri",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
