URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/measure-definition-example,5.0.0,active,"2.16.840.1.113883.4.642.4.2043",MeasureDefinitionExample,Measure Definition Example,"Example Measure Definitions for the Measure Resource.","ValueSet/measure-definition-example"
http://hl7.org/fhir/measure-group-example,5.0.0,active,"2.16.840.1.113883.4.642.4.2045",MeasureGroupExample,Measure Group Example,"Example Measure Groups for the Measure Resource.","ValueSet/measure-group-example"
http://hl7.org/fhir/measure-stratifier-example,5.0.0,active,"2.16.840.1.113883.4.642.4.2047",MeasureStratifierExample,Measure Stratifier Example,"Identifier subgroups in a population for measuring purposes.","ValueSet/measure-stratifier-example"
http://hl7.org/fhir/measure-supplemental-data-example,5.0.0,active,"2.16.840.1.113883.4.642.4.2046",MeasureSupplementalDataExample,Measure Supplemental Data Example,"Identifier supplemental data in a population for measuring purposes.","ValueSet/measure-supplemental-data-example"
http://hl7.org/fhir/operation-kind,5.0.0,active,"2.16.840.1.113883.4.642.1.500,2.16.840.1.113883.4.642.2.297,2.16.840.1.113883.4.642.4.507",OperationKind,Operation Kind,"Whether an operation is a normal operation or a query.","ValueSet/operation-kind"
http://hl7.org/fhir/operation-parameter-scope,5.0.0,active,"2.16.840.1.113883.4.642.4.2055",OperationParameterScope,Operation Parameter Use,"Indicates that a parameter applies when the operation is being invoked at the specified level","ValueSet/operation-parameter-scope"
http://hl7.org/fhir/operation-parameter-use,5.0.0,active,"2.16.840.1.113883.4.642.1.502,2.16.840.1.113883.4.642.2.298,2.16.840.1.113883.4.642.4.509",OperationParameterUse,Operation Parameter Use,"Whether an operation parameter is an input or an output parameter.","ValueSet/operation-parameter-use"
http://hl7.org/fhir/property-representation,5.0.0,active,"2.16.840.1.113883.4.642.4.88",PropertyRepresentation,PropertyRepresentation,"How a property is represented when serialized.","ValueSet/property-representation"
http://hl7.org/fhir/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/reference-version-rules,5.0.0,active,"2.16.840.1.113883.4.642.4.90",ReferenceVersionRules,ReferenceVersionRules,"Whether a reference needs to be version specific or version independent, or whether either can be used.","ValueSet/reference-version-rules"
http://hl7.org/fhir/request-priority,5.0.0,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/resource-aggregation-mode,5.0.0,active,"2.16.840.1.113883.4.642.4.86",AggregationMode,AggregationMode,"How resource references can be aggregated.","ValueSet/resource-aggregation-mode"
http://hl7.org/fhir/resource-slicing-rules,5.0.0,active,"2.16.840.1.113883.4.642.4.84",SlicingRules,SlicingRules,"How slices are interpreted when evaluating an instance.","ValueSet/resource-slicing-rules"
http://hl7.org/fhir/search-param-type,5.0.0,active,"2.16.840.1.113883.4.642.4.12",SearchParamType,SearchParamType,"Data types allowed to be used for search parameters.","ValueSet/search-param-type"
http://hl7.org/fhir/spdx-license,84728b7,draft,"2.16.840.1.113883.4.642.4.1027",SPDXLicense,SPDXLicense,"The license that applies to an Implementation Guide (using an SPDX license Identifiers, or 'not-open-source'). The binding is required but new SPDX license Identifiers are allowed to be used (https://spdx.org/licenses/).","ValueSet/spdx-license"
http://hl7.org/fhir/structure-definition-kind,5.0.0,active,"2.16.840.1.113883.4.642.2.348,2.16.840.1.113883.4.642.1.655,2.16.840.1.113883.4.642.4.669",StructureDefinitionKind,Structure Definition Kind,"Defines the type of structure that a definition is describing.","ValueSet/structure-definition-kind"
http://hl7.org/fhir/type-derivation-rule,5.0.0,active,"2.16.840.1.113883.4.642.4.674,2.16.840.1.113883.4.642.1.660",TypeDerivationRule,Type Derivation Rule,"How a type relates to its baseDefinition.","ValueSet/type-derivation-rule"
http://hl7.org/fhir/version-algorithm,5.0.0,active,"2.16.840.1.113883.4.642.4.1989",VersionAlgorithm,Version Algorithm,"Indicates the mechanism used to compare versions to determine which is more current.","ValueSet/version-algorithm"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/observation-codes"
http://terminology.hl7.org/CodeSystem/action-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1246",ActionType,ActionType,"The type of action to be performed.","ValueSet/action-type"
http://terminology.hl7.org/CodeSystem/composite-measure-scoring,1.0.0,draft,"2.16.840.1.113883.4.642.1.1235",CompositeMeasureScoring,CompositeMeasureScoring,"The composite scoring method of the measure.","ValueSet/composite-measure-scoring"
http://terminology.hl7.org/CodeSystem/definition-topic,1.0.0,draft,"2.16.840.1.113883.4.642.1.1244",DefinitionTopic,DefinitionTopic,"High-level categorization of the definition, used for searching, sorting, and filtering.","ValueSet/definition-topic"
http://terminology.hl7.org/CodeSystem/definition-use,2.0.0,active,"2.16.840.1.113883.4.642.1.1191",DefinitionUseCodes,Structure Definition Use Codes / Keywords,"Structure Definition Use Codes / Keywords","ValueSet/definition-use"
http://terminology.hl7.org/CodeSystem/goal-category,1.0.0,draft,"2.16.840.1.113883.4.642.1.1097",GoalCategory,Goal category,"Example codes for grouping goals to use for filtering or presentation.","ValueSet/goal-category"
http://terminology.hl7.org/CodeSystem/goal-priority,1.0.0,draft,"2.16.840.1.113883.4.642.1.1096",GoalPriority,Goal priority,"Indicates the level of importance associated with reaching or sustaining a goal.","ValueSet/goal-priority"
http://terminology.hl7.org/CodeSystem/measure-data-usage,1.0.0,draft,"2.16.840.1.113883.4.642.1.1234",MeasureDataUsage,MeasureDataUsage,"The intended usage for supplemental data elements in the measure.","ValueSet/measure-data-usage"
http://terminology.hl7.org/CodeSystem/measure-improvement-notation,1.0.0,draft,"2.16.840.1.113883.4.642.1.1395",MeasureImprovementNotation,MeasureImprovementNotation,"Observation values that indicate what change in a measurement value or score is indicative of an improvement in the measured item or scored issue.","ValueSet/measure-improvement-notation"
http://terminology.hl7.org/CodeSystem/measure-population,1.0.0,draft,"2.16.840.1.113883.4.642.1.1231",MeasurePopulationType,MeasurePopulationType,"The type of population.","ValueSet/measure-population"
http://terminology.hl7.org/CodeSystem/measure-scoring,3.0.0,draft,"2.16.840.1.113883.4.642.1.1232",MeasureScoring,MeasureScoring,"The scoring type of the measure.","ValueSet/measure-scoring"
http://terminology.hl7.org/CodeSystem/measure-type,3.0.0,draft,"2.16.840.1.113883.4.642.1.1233",MeasureType,MeasureType,"The type of measure (includes codes from 2.16.840.1.113883.1.11.20368).","ValueSet/measure-type"
http://terminology.hl7.org/CodeSystem/plan-definition-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1245",PlanDefinitionType,PlanDefinitionType,"The type of PlanDefinition.","ValueSet/plan-definition-type"
http://terminology.hl7.org/CodeSystem/v2-0203,4.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/measure-scoring-unit"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages,ValueSet/all-languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/jurisdiction"
urn:iso:std:iso:3166:-2,2013-11,retired,"1.0.3166.2",Iso3166_2,ISO 3166 Part 2 Country Subdivision Codes,"Identifies the coding system published in the ISO 3166-2 Standard for Country Subdivision codes. This standard is released periodically, and a new OID will be assigned by ISO for new editions.","ValueSet/jurisdiction"
